,Overall_Experience
0,0
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,0
124,0
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,0
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,0
246,1
247,0
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,0
333,1
334,0
335,0
336,1
337,1
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,1
348,1
349,1
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,1
359,1
360,0
361,0
362,1
363,1
364,1
365,0
366,0
367,1
368,1
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,1
379,1
380,0
381,0
382,1
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,0
410,0
411,1
412,0
413,0
414,1
415,1
416,1
417,1
418,1
419,0
420,1
421,1
422,1
423,0
424,0
425,1
426,1
427,1
428,1
429,0
430,0
431,0
432,1
433,1
434,0
435,0
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,0
444,0
445,0
446,1
447,1
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,1
456,0
457,0
458,1
459,1
460,0
461,1
462,1
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,1
473,1
474,0
475,1
476,1
477,0
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,1
491,0
492,1
493,1
494,0
495,0
496,1
497,0
498,0
499,0
500,1
501,1
502,0
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,0
526,1
527,0
528,0
529,0
530,1
531,1
